CustomerID,Age,Gender,SubscriptionType,MonthlyCharges,TenureMonths,SupportTickets,PaymentMethod,SatisfactionScore,UsageHoursPerWeek,Churn
1,56,Male,Enterprise,728,50,8,UPI,5,3,No
2,69,Female,Enterprise,2321,14,4,UPI,4,6,No
3,46,Male,Basic,503,58,9,UPI,8,26,No
4,32,Male,Premium,2292,16,5,Credit Card,6,38,No
5,60,Female,Premium,606,54,8,UPI,6,11,No
6,25,Male,Premium,1987,43,6,UPI,1,29,No
7,38,Male,Enterprise,313,42,4,Credit Card,6,20,No
8,56,Female,Premium,2160,17,1,Net Banking,3,10,No
9,36,Male,Enterprise,2261,46,3,UPI,6,26,No
10,40,Female,Premium,1380,22,1,Net Banking,10,27,No
11,28,Female,Premium,1022,4,2,Net Banking,6,14,No
12,28,Female,Basic,1079,19,9,UPI,2,36,Yes
13,41,Female,Premium,1533,2,2,UPI,1,12,No
14,53,Female,Premium,828,39,3,Credit Card,3,23,No
15,57,Male,Basic,1097,9,5,Credit Card,5,21,Yes
16,41,Male,Enterprise,643,19,2,UPI,4,8,No
17,20,Female,Enterprise,1602,16,9,Net Banking,7,39,No
18,39,Female,Premium,508,54,0,Credit Card,4,9,No
19,19,Male,Enterprise,940,25,0,Credit Card,8,24,No
20,41,Female,Premium,1611,48,8,UPI,7,31,No
21,61,Female,Basic,2247,18,8,UPI,10,25,No
22,47,Female,Basic,1219,23,4,UPI,9,17,No
23,55,Male,Premium,2023,53,8,UPI,1,29,No
24,19,Male,Basic,2344,21,6,Credit Card,5,3,Yes
25,38,Female,Basic,718,11,8,Credit Card,4,21,Yes
26,50,Female,Premium,2049,39,6,Credit Card,6,8,No
27,29,Male,Premium,1688,41,8,Net Banking,1,14,No
28,39,Male,Basic,1399,4,1,Credit Card,6,39,No
29,61,Female,Enterprise,2456,25,7,Credit Card,1,16,No
30,42,Female,Enterprise,1845,32,6,UPI,1,18,No
31,66,Male,Premium,1370,30,5,Credit Card,8,31,No
32,44,Male,Premium,2150,45,4,Credit Card,2,11,No
33,59,Male,Enterprise,1419,59,3,Credit Card,10,38,No
34,45,Female,Basic,1257,26,6,UPI,6,20,No
35,33,Male,Enterprise,402,57,2,Credit Card,6,4,No
36,32,Female,Enterprise,1469,36,7,Credit Card,6,20,No
37,64,Male,Enterprise,2203,51,1,Net Banking,8,31,No
38,68,Male,Enterprise,2055,34,0,Net Banking,4,20,No
39,61,Male,Premium,978,9,1,Net Banking,3,11,No
40,69,Male,Premium,2268,12,8,Net Banking,6,1,Yes
41,20,Female,Basic,1288,2,4,UPI,4,18,Yes
42,54,Female,Basic,1405,38,7,Net Banking,2,39,Yes
43,68,Male,Basic,1907,5,2,Credit Card,6,33,No
44,24,Female,Basic,1802,5,6,Net Banking,10,36,Yes
45,38,Male,Enterprise,2089,52,1,UPI,5,18,No
46,26,Male,Premium,1485,22,7,Net Banking,9,31,No
47,56,Male,Premium,1231,5,6,Net Banking,6,35,No
48,35,Male,Basic,1725,59,4,UPI,3,39,No
49,21,Female,Basic,1361,4,3,UPI,5,38,No
50,42,Male,Enterprise,2278,9,0,UPI,10,15,No
51,31,Male,Enterprise,2342,29,4,UPI,8,6,No
